intT; RTXmxy; RTXmz; CSRSmxy; CSRSmz; CREDOmxy; CREDOmz;
1; 0,023; 0,032; 0,021; 0,029; 0,095; 0,119;
2; 0,022; 0,031; 0,019; 0,027; 0,093; 0,115;
3; 0,021; 0,030; 0,018; 0,026; 0,089; 0,102;
4; 0,021; 0,030; 0,018; 0,026; 0,086; 0,097;
