intT; RTXmxy; RTXmz; CSRSmxy; CSRSmz; CREDOmxy; CREDOmz;
1; 0,048; 0,051; 0,049; 0,052; 0,402; 0,290;
2; 0,047; 0,050; 0,048; 0,049; 0,368; 0,263;
3; 0,046; 0,049; 0,047; 0,048; 0,335; 0,242;
4; 0,046; 0,049; 0,047; 0,048; 0,290; 0,215;
