intT; RTXnl; RTXcl; CSRSnl; CSRScl; stCREDO; stnl;
1; 0,038; 0,046; 0,059; 0,056; 0,302; 0,191;
2; 0,026; 0,026; 0,027; 0,029; 0,208; 0,182;
3; 0,023; 0,021; 0,024; 0,024; 0,069; 0,068;
4; 0,023; 0,021; 0,022; 0,022; 0,045; 0,057;
