0.25, 0.068, 0.073, 0.072, 0.123
0.50, 0.036, 0.052,  0.062, 0.089
0.75, 0.032, 0.036, 0.043, 0.065
1.00, 0.027, 0.028,  0.035, 0.052
2.00, 0.025, 0.018, 0.028, 0.042
3.00, 0.021, 0.017, 0.021, 0.034
4.00, 0.021, 0.017, 0.021, 0.034
5.00, 0.021, 0.017, 0.021, 0.034

